12,G:HGNC:14129,G:HGNC:24650,"['GTG', 'GMDMG', 'GMDpDMG']",2.0,1.0,13320.0,1
1,G:HGNC:14129,G:HGNC:24650,['GMG'],6.0,0.983,345.0,1
7,G:HGNC:14129,G:HGNC:24650,"['GMG', 'GMDMG']",20.0,0.996,4878.0,1
8,G:HGNC:14129,G:HGNC:24650,"['GMG', 'GMDpDMG']",35.0,0.992,4559.0,1
13,G:HGNC:14129,G:HGNC:24650,"['GMG', 'GMDMG', 'GMDpDMG']",52.0,0.99,4989.0,1
2,G:HGNC:14129,G:HGNC:24650,['GMDMG'],239.0,0.948,4591.0,1
3,G:HGNC:14129,G:HGNC:24650,['GMDpDMG'],3382.0,0.359,5280.0,1
9,G:HGNC:14129,G:HGNC:24650,"['GMDMG', 'GMDpDMG']",3803.0,0.708,13036.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:393,G:HGNC:6863,['GTG'],33.0,0.939,544.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9314,G:HGNC:15566,['GTG'],125.0,0.784,578.0,1
1,G:HGNC:9314,G:HGNC:15566,['GMDMG'],1773.0,0.296,2517.0,1
2,G:HGNC:9314,G:HGNC:15566,"['GTG', 'GMDMG']",6118.0,0.243,8086.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:8905,G:HGNC:8906,['GTG'],1.0,0.998,450.0,1
5,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMDMG']",1.0,1.0,11840.0,1
6,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMDpDMG']",6.0,0.999,10650.0,1
4,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG']",38.0,0.983,2181.0,1
12,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMDMG', 'GMDpDMG']",51.0,0.996,13246.0,1
11,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG', 'GMDpDMG']",81.0,0.981,4349.0,1
1,G:HGNC:8905,G:HGNC:8906,['GMG'],177.0,0.608,451.0,1
10,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG', 'GMDMG']",190.0,0.958,4492.0,1
14,G:HGNC:8905,G:HGNC:8906,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",268.0,0.94,4438.0,1
8,G:HGNC:8905,G:HGNC:8906,"['GMG', 'GMDpDMG']",1773.0,0.608,4528.0,1
7,G:HGNC:8905,G:HGNC:8906,"['GMG', 'GMDMG']",1970.0,0.589,4792.0,1
2,G:HGNC:8905,G:HGNC:8906,['GMDMG'],2484.0,0.426,4329.0,1
13,G:HGNC:8905,G:HGNC:8906,"['GMG', 'GMDMG', 'GMDpDMG']",2685.0,0.454,4922.0,1
3,G:HGNC:8905,G:HGNC:8906,['GMDpDMG'],4170.0,0.251,5568.0,1
9,G:HGNC:8905,G:HGNC:8906,"['GMDMG', 'GMDpDMG']",8146.0,0.355,12626.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:251,G:HGNC:255,['GTG'],3.0,0.989,273.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:2460,G:HGNC:9381,['GTG'],137.0,0.778,617.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:8784,G:HGNC:8787,['GPdPG'],16.0,0.698,53.0,1
1,G:HGNC:8784,G:HGNC:8787,['GTG'],16.0,0.947,303.0,1
2,G:HGNC:8784,G:HGNC:8787,"['GPdPG', 'GTG']",23.0,0.909,254.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
1,G:HGNC:8592,G:HGNC:9402,['GPdPG'],3.0,0.932,44.0,1
11,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GPdPG', 'GMG']",7.0,0.844,45.0,1
14,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GPdPG', 'GTG', 'GMG']",9.0,0.8,45.0,1
4,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GPdPG']",32.0,0.781,146.0,1
8,G:HGNC:8592,G:HGNC:9402,"['GPdPG', 'GMG']",35.0,0.701,117.0,1
10,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GPdPG', 'GTG']",37.0,0.741,143.0,1
13,G:HGNC:8592,G:HGNC:9402,"['GPdPG', 'GTG', 'GMG']",56.0,0.634,153.0,1
7,G:HGNC:8592,G:HGNC:9402,"['GPdPG', 'GTG']",194.0,0.539,421.0,1
12,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GTG', 'GMG']",213.0,0.827,1234.0,1
2,G:HGNC:8592,G:HGNC:9402,['GTG'],214.0,0.643,599.0,1
3,G:HGNC:8592,G:HGNC:9402,['GMG'],291.0,0.464,543.0,1
6,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GMG']",534.0,0.631,1446.0,1
9,G:HGNC:8592,G:HGNC:9402,"['GTG', 'GMG']",689.0,0.773,3033.0,1
5,G:HGNC:8592,G:HGNC:9402,"['GDpDpDG', 'GTG']",961.0,0.804,4892.0,1
0,G:HGNC:8592,G:HGNC:9402,['GDpDpDG'],2507.0,0.557,5655.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:10540,G:HGNC:23160,['GTG'],2.0,0.993,301.0,1
2,G:HGNC:10540,G:HGNC:23160,"['GTG', 'GMG']",9.0,0.994,1406.0,1
1,G:HGNC:10540,G:HGNC:23160,['GMG'],21.0,0.93,302.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9416,G:HGNC:9395,['GTG'],183.0,0.704,618.0,1
1,G:HGNC:9416,G:HGNC:9395,['GMG'],666.0,0.339,1008.0,1
4,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMG']",775.0,0.791,3704.0,1
10,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMG', 'GMDMG']",1272.0,0.76,5294.0,1
11,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMG', 'GMDpDMG']",1544.0,0.685,4897.0,1
14,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",2015.0,0.592,4936.0,1
5,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMDMG']",2067.0,0.811,10942.0,1
7,G:HGNC:9416,G:HGNC:9395,"['GMG', 'GMDMG']",2136.0,0.668,6425.0,1
8,G:HGNC:9416,G:HGNC:9395,"['GMG', 'GMDpDMG']",2507.0,0.573,5874.0,1
2,G:HGNC:9416,G:HGNC:9395,['GMDMG'],2624.0,0.33,3917.0,1
13,G:HGNC:9416,G:HGNC:9395,"['GMG', 'GMDMG', 'GMDpDMG']",3207.0,0.486,6242.0,1
3,G:HGNC:9416,G:HGNC:9395,['GMDpDMG'],3401.0,0.367,5374.0,1
6,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMDpDMG']",3538.0,0.65,10100.0,1
12,G:HGNC:9416,G:HGNC:9395,"['GTG', 'GMDMG', 'GMDpDMG']",4687.0,0.598,11651.0,1
9,G:HGNC:9416,G:HGNC:9395,"['GMDMG', 'GMDpDMG']",8094.0,0.356,12563.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:18080,G:HGNC:10871,['GTG'],5.0,0.977,214.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:8787,G:HGNC:8779,['GPdPG'],6.0,0.786,28.0,1
2,G:HGNC:8787,G:HGNC:8779,"['GPdPG', 'GTG']",33.0,0.411,56.0,1
1,G:HGNC:8787,G:HGNC:8779,['GTG'],176.0,0.531,375.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
1,G:HGNC:19316,G:HGNC:19317,['GPdPG'],1.0,0.917,12.0,1
2,G:HGNC:19316,G:HGNC:19317,['GTG'],2.0,0.994,363.0,1
9,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GTG']",2.0,0.968,62.0,1
22,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GTG', 'GMDpDMG']",3.0,0.932,44.0,1
21,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GTG', 'GMDMG']",3.0,0.938,48.0,1
29,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GTG', 'GMDMG', 'GMDpDMG']",7.0,0.841,44.0,1
10,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GMDMG']",7.0,0.877,57.0,1
30,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GTG', 'GMDMG', 'GMDpDMG']",9.0,0.438,16.0,1
26,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GTG', 'GMDpDMG']",9.0,0.438,16.0,1
12,G:HGNC:19316,G:HGNC:19317,"['GTG', 'GMDMG']",9.0,0.998,5320.0,1
25,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GTG', 'GMDMG']",10.0,0.444,18.0,1
15,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GTG']",10.0,0.63,27.0,1
17,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GMDpDMG']",14.0,0.44,25.0,1
27,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GMDMG', 'GMDpDMG']",15.0,0.4,25.0,1
16,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG', 'GMDMG']",17.0,0.37,27.0,1
11,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GMDpDMG']",17.0,0.712,59.0,1
5,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GPdPG']",22.0,0.405,37.0,1
23,G:HGNC:19316,G:HGNC:19317,"['GPdPG', 'GMDMG', 'GMDpDMG']",23.0,0.61,59.0,1
13,G:HGNC:19316,G:HGNC:19317,"['GTG', 'GMDpDMG']",58.0,0.991,6124.0,1
24,G:HGNC:19316,G:HGNC:19317,"['GTG', 'GMDMG', 'GMDpDMG']",197.0,0.975,7767.0,1
18,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GTG', 'GMDMG']",729.0,0.658,2132.0,1
28,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GTG', 'GMDMG', 'GMDpDMG']",736.0,0.603,1855.0,1
19,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GTG', 'GMDpDMG']",804.0,0.569,1864.0,1
3,G:HGNC:19316,G:HGNC:19317,['GMDMG'],969.0,0.601,2429.0,1
6,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GTG']",1050.0,0.646,2968.0,1
20,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GMDMG', 'GMDpDMG']",2267.0,0.318,3322.0,1
8,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GMDpDMG']",2306.0,0.308,3333.0,1
4,G:HGNC:19316,G:HGNC:19317,['GMDpDMG'],2431.0,0.454,4450.0,1
7,G:HGNC:19316,G:HGNC:19317,"['GDpDpDG', 'GMDMG']",2485.0,0.349,3818.0,1
0,G:HGNC:19316,G:HGNC:19317,['GDpDpDG'],3275.0,0.358,5099.0,1
14,G:HGNC:19316,G:HGNC:19317,"['GMDMG', 'GMDpDMG']",5759.0,0.508,11708.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:6863,G:HGNC:11399,['GPdPG'],1.0,0.963,27.0,1
2,G:HGNC:6863,G:HGNC:11399,"['GPdPG', 'GTG']",25.0,0.932,365.0,1
1,G:HGNC:6863,G:HGNC:11399,['GTG'],37.0,0.926,497.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:4131,G:HGNC:23233,['GTG'],8.0,0.961,205.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:5194,G:HGNC:5195,['GTG'],4.0,0.974,151.0,1
2,G:HGNC:5194,G:HGNC:5195,"['GTG', 'GMDMG']",59.0,0.945,1081.0,1
1,G:HGNC:5194,G:HGNC:5195,['GMDMG'],3646.0,0.155,4317.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9381,G:HGNC:9403,['GTG'],65.0,0.891,594.0,1
2,G:HGNC:9381,G:HGNC:9403,"['GTG', 'GMDMG']",2798.0,0.752,11299.0,1
1,G:HGNC:9381,G:HGNC:9403,['GMDMG'],2831.0,0.258,3813.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:22140,G:HGNC:9416,['GTG'],159.0,0.619,417.0,1
1,G:HGNC:22140,G:HGNC:9416,['GMDMG'],2903.0,0.127,3324.0,1
2,G:HGNC:22140,G:HGNC:9416,['GMDpDMG'],2911.0,0.364,4579.0,1
4,G:HGNC:22140,G:HGNC:9416,"['GTG', 'GMDpDMG']",4055.0,0.519,8438.0,1
3,G:HGNC:22140,G:HGNC:9416,"['GTG', 'GMDMG']",5076.0,0.338,7670.0,1
6,G:HGNC:22140,G:HGNC:9416,"['GTG', 'GMDMG', 'GMDpDMG']",5795.0,0.423,10045.0,1
5,G:HGNC:22140,G:HGNC:9416,"['GMDMG', 'GMDpDMG']",9120.0,0.243,12055.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:813,G:HGNC:817,['GTG'],60.0,0.889,540.0,1
2,G:HGNC:813,G:HGNC:817,"['GTG', 'GMG']",191.0,0.937,3041.0,1
1,G:HGNC:813,G:HGNC:817,['GMG'],397.0,0.449,721.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
2,G:HGNC:9416,G:HGNC:9413,['GMDMG'],133.0,0.957,3084.0,1
5,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMDMG']",249.0,0.974,9475.0,1
0,G:HGNC:9416,G:HGNC:9413,['GTG'],253.0,0.624,673.0,1
1,G:HGNC:9416,G:HGNC:9413,['GMG'],298.0,0.433,526.0,1
10,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMG', 'GMDMG']",513.0,0.826,2954.0,1
4,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMG']",555.0,0.719,1977.0,1
14,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",1120.0,0.589,2727.0,1
11,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMG', 'GMDpDMG']",1436.0,0.462,2671.0,1
7,G:HGNC:9416,G:HGNC:9413,"['GMG', 'GMDMG']",1450.0,0.628,3903.0,1
13,G:HGNC:9416,G:HGNC:9413,"['GMG', 'GMDMG', 'GMDpDMG']",2526.0,0.346,3862.0,1
8,G:HGNC:9416,G:HGNC:9413,"['GMG', 'GMDpDMG']",2577.0,0.236,3371.0,1
3,G:HGNC:9416,G:HGNC:9413,['GMDpDMG'],3185.0,0.185,3907.0,1
12,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMDMG', 'GMDpDMG']",3731.0,0.659,10932.0,1
6,G:HGNC:9416,G:HGNC:9413,"['GTG', 'GMDpDMG']",5251.0,0.335,7898.0,1
9,G:HGNC:9416,G:HGNC:9413,"['GMDMG', 'GMDpDMG']",7212.0,0.38,11639.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:3516,G:HGNC:3518,['GTG'],1.0,0.997,294.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:16637,G:HGNC:29958,['GTG'],93.0,0.785,432.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
3,G:HGNC:7458,G:HGNC:7708,['GPdPG'],1.0,0.933,15.0,1
7,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GPdPG']",5.0,0.545,11.0,1
0,G:HGNC:7458,G:HGNC:7708,['GDG'],6.0,0.333,9.0,1
25,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GDpDpDG', 'GPdPG']",9.0,0.4,15.0,1
21,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GDpDpDG', 'GPdPG']",9.0,0.885,78.0,1
18,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDpDG', 'GPdPG']",9.0,0.4,15.0,1
16,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GPdPG']",9.0,0.438,16.0,1
10,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GPdPG']",9.0,0.882,76.0,1
1,G:HGNC:7458,G:HGNC:7708,['GDpDG'],13.0,0.987,966.0,1
5,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG']",13.0,0.536,28.0,1
15,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GDpDpDG']",20.0,0.259,27.0,1
6,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDpDG']",21.0,0.222,27.0,1
14,G:HGNC:7458,G:HGNC:7708,"['GPdPG', 'GTG']",25.0,0.815,135.0,1
29,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GDpDpDG', 'GPdPG', 'GTG']",26.0,0.679,81.0,1
24,G:HGNC:7458,G:HGNC:7708,"['GDpDpDG', 'GPdPG', 'GTG']",26.0,0.726,95.0,1
30,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GDpDpDG', 'GPdPG', 'GTG']",27.0,0.25,36.0,1
28,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDpDG', 'GPdPG', 'GTG']",27.0,0.25,36.0,1
12,G:HGNC:7458,G:HGNC:7708,"['GDpDpDG', 'GPdPG']",28.0,0.728,103.0,1
9,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GDpDpDG']",28.0,0.991,3263.0,1
4,G:HGNC:7458,G:HGNC:7708,['GTG'],29.0,0.918,355.0,1
26,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GDpDpDG', 'GTG']",30.0,0.434,53.0,1
19,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDpDG', 'GTG']",30.0,0.434,53.0,1
23,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GPdPG', 'GTG']",31.0,0.656,90.0,1
20,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GPdPG', 'GTG']",32.0,0.256,43.0,1
22,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GDpDpDG', 'GTG']",32.0,0.988,2603.0,1
27,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GPdPG', 'GTG']",35.0,0.222,45.0,1
13,G:HGNC:7458,G:HGNC:7708,"['GDpDpDG', 'GTG']",36.0,0.992,4681.0,1
11,G:HGNC:7458,G:HGNC:7708,"['GDpDG', 'GTG']",36.0,0.984,2279.0,1
8,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GTG']",37.0,0.362,58.0,1
17,G:HGNC:7458,G:HGNC:7708,"['GDG', 'GDpDG', 'GTG']",43.0,0.348,66.0,1
2,G:HGNC:7458,G:HGNC:7708,['GDpDpDG'],1176.0,0.801,5912.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9302,G:HGNC:9300,['GTG'],39.0,0.931,566.0,1
3,G:HGNC:9302,G:HGNC:9300,"['GTG', 'GMDMG']",1189.0,0.899,11719.0,1
1,G:HGNC:9302,G:HGNC:9300,['GMDMG'],2311.0,0.363,3630.0,1
4,G:HGNC:9302,G:HGNC:9300,"['GTG', 'GMDpDMG']",2319.0,0.798,11453.0,1
2,G:HGNC:9302,G:HGNC:9300,['GMDpDMG'],3585.0,0.361,5606.0,1
6,G:HGNC:9302,G:HGNC:9300,"['GTG', 'GMDMG', 'GMDpDMG']",5234.0,0.629,14096.0,1
5,G:HGNC:9302,G:HGNC:9300,"['GMDMG', 'GMDpDMG']",8088.0,0.339,12240.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:811,G:HGNC:13211,['GTG'],8.0,0.981,415.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:8590,G:HGNC:9380,['GPdPG'],34.0,0.469,64.0,1
4,G:HGNC:8590,G:HGNC:9380,"['GPdPG', 'GMDMG']",199.0,0.491,391.0,1
6,G:HGNC:8590,G:HGNC:9380,"['GPdPG', 'GTG', 'GMDMG']",215.0,0.516,444.0,1
1,G:HGNC:8590,G:HGNC:9380,['GTG'],217.0,0.737,825.0,1
3,G:HGNC:8590,G:HGNC:9380,"['GPdPG', 'GTG']",280.0,0.48,538.0,1
2,G:HGNC:8590,G:HGNC:9380,['GMDMG'],2502.0,0.256,3361.0,1
5,G:HGNC:8590,G:HGNC:9380,"['GTG', 'GMDMG']",4912.0,0.56,11161.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:9410,G:HGNC:18133,['GPdPG'],7.0,0.863,51.0,1
1,G:HGNC:9410,G:HGNC:18133,['GTG'],218.0,0.617,569.0,1
2,G:HGNC:9410,G:HGNC:18133,"['GPdPG', 'GTG']",260.0,0.432,458.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:2285,G:HGNC:2277,['GTG'],5.0,0.976,206.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
0,G:HGNC:18133,G:HGNC:9413,['GTG'],290.0,0.613,749.0,1
,gene1,gene2,meta_path,meta_path_rank,rank_percent,total_rank,label
2,G:HGNC:9611,G:HGNC:10481,['GMDMG'],145.0,0.949,2832.0,1
1,G:HGNC:9611,G:HGNC:10481,['GMG'],188.0,0.584,452.0,1
10,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMG', 'GMDMG']",205.0,0.949,4041.0,1
0,G:HGNC:9611,G:HGNC:10481,['GTG'],260.0,0.67,789.0,1
4,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMG']",327.0,0.86,2337.0,1
5,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMDMG']",426.0,0.964,11699.0,1
7,G:HGNC:9611,G:HGNC:10481,"['GMG', 'GMDMG']",783.0,0.795,3816.0,1
14,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMG', 'GMDMG', 'GMDpDMG']",817.0,0.782,3744.0,1
11,G:HGNC:9611,G:HGNC:10481,"['GTG', 'GMG', 'GMDpDMG']",1171.0,0.68,3663.0,1
