RefSeq1,RefSeq2,gene1,gene2,label
NM_002306,NM_153746,HGNC:6563,HGNC:20341,0
NM_015666,NR_030381,HGNC:16239,HGNC:32908,0
NM_016044,NR_003521,HGNC:24252,HGNC:27892,0
NM_153333,NM_001004756,HGNC:28683,HGNC:14847,0
NM_004185,NM_014476,HGNC:12781,HGNC:20767,0
NM_032778,NM_007098,HGNC:19441,HGNC:2093,0
NM_025083,NM_000559,HGNC:26114,HGNC:4831,0
NM_032494,NM_001762,HGNC:30941,HGNC:1620,0
NM_033105,NR_000024,HGNC:24138,HGNC:10186,0
NM_152857,NR_036581,HGNC:16846,HGNC:44356,0
NM_001082,NM_182830,HGNC:2645,HGNC:19835,0
NM_145060,NM_005359,HGNC:28109,HGNC:6770,0
NM_018072,NM_002704,HGNC:25517,HGNC:9240,0
NM_022751,NM_203311,HGNC:26136,HGNC:26237,0
NM_001010895,NM_002866,HGNC:26922,HGNC:9777,0
NM_173362,NM_014159,HGNC:29587,HGNC:18420,0
NM_020307,NG_000834,HGNC:20569,HGNC:5733,0
NM_001005473,NM_015138,HGNC:31822,HGNC:28996,0
NM_004477,NM_175900,HGNC:3954,HGNC:26649,0
NM_000516,NM_018300,HGNC:4392,HGNC:13158,0
NM_080596,NM_022821,HGNC:13671,HGNC:14418,0
NG_000002,NM_001001722,HGNC:5879,HGNC:23921,0
NR_027291,NM_005512,HGNC:31706,HGNC:4161,0
NM_016544,NM_025010,HGNC:30290,HGNC:29120,0
NM_016033,NM_207308,HGNC:24285,HGNC:29915,0
NM_006756,NM_014495,HGNC:11612,HGNC:491,0
NM_012309,NM_006682,HGNC:14295,HGNC:3696,0
NM_014724,NM_001098622,HGNC:13172,HGNC:22048,0
NM_005068,NM_014035,HGNC:10882,HGNC:21533,0
NG_000833,NM_152581,HGNC:5797,HGNC:28381,0
NM_198457,NM_016483,HGNC:30951,HGNC:18458,0
NR_028371,NM_003292,HGNC:37128,HGNC:12017,0
NM_018904,NM_138343,HGNC:8667,HGNC:21624,0
NM_012310,NM_001037500,HGNC:13339,HGNC:18104,0
NM_023942,NM_001198954.1,HGNC:21704,HGNC:38847,0
NM_016458,NM_001017928,HGNC:24161,HGNC:31136,0
NM_152436,NM_022437,HGNC:28592,HGNC:13887,0
NM_201634,NR_037513,HGNC:11639,HGNC:38992,0
NM_002025,NM_014688,HGNC:3776,HGNC:16858,0
NM_024866,NM_002547,HGNC:28898,HGNC:8148,0
NM_198490,NR_023376,HGNC:19983,HGNC:34375,0
NM_007242,NM_031965,HGNC:2742,HGNC:19682,0
NM_000479,NM_006507,HGNC:464,HGNC:9952,0
NM_015079,NM_001252100,HGNC:29183,HGNC:29442,0
NM_003447,NM_022725,HGNC:12953,HGNC:3587,0
NM_173475,NM_021252,HGNC:28734,HGNC:14244,0
NM_173853,NM_133465,HGNC:28943,HGNC:23427,0
NM_000217,NM_152653,HGNC:6218,HGNC:12478,0
NM_018067,NM_001199579,HGNC:25514,HGNC:14210,0
NM_138378,NM_018846,HGNC:25110,HGNC:15646,0
NM_033377,NM_012121,HGNC:16721,HGNC:17147,0
NM_020895,NM_000966,HGNC:29305,HGNC:9866,0
NM_014400,NM_001034077,HGNC:24880,HGNC:29607,0
NM_013264,NM_003687,HGNC:18698,HGNC:16501,0
NM_001137549,NM_032423,HGNC:23590,HGNC:29384,0
NR_030218,NM_006615,HGNC:32128,HGNC:1486,0
NM_025065,NG_001332,HGNC:30350,HGNC:12109,0
NM_002175,NM_139246,HGNC:5424,HGNC:30087,0
NM_015080,NM_014761,HGNC:8009,HGNC:28977,0
NM_018842,NM_138402,HGNC:21649,HGNC:25105,0
NM_001025081,NM_003604,HGNC:6925,HGNC:6128,0
NM_006519,NM_014602,HGNC:11697,HGNC:8982,0
NM_001193630,NG_010642,HGNC:32284,HGNC:36075,0
NM_018265,NM_024755,HGNC:25599,HGNC:20709,0
NM_024718,NM_006099,HGNC:24703,HGNC:16861,0
NM_001351005,NM_017445,HGNC:26737,HGNC:4762,0
NM_015722,NR_104086,HGNC:17938,HGNC:48324,0
NM_006189,NM_152356,HGNC:8136,HGNC:23706,0
NM_004058,NM_016642,HGNC:1487,HGNC:15680,0
NM_006777,NM_032120,HGNC:16682,HGNC:21785,0
NM_014329,NR_029607,HGNC:17157,HGNC:31640,0
NM_019023,NM_001352,HGNC:25557,HGNC:2697,0
NG_000834,NM_052839,HGNC:5744,HGNC:8600,0
NM_020122,NM_173857,HGNC:20589,HGNC:19871,0
NM_152405,NM_020632,HGNC:28916,HGNC:866,0
NM_016332,NM_005868,HGNC:14133,HGNC:14562,0
NM_052888,NR_004398,HGNC:29070,HGNC:10240,0
NM_152272,NM_145046,HGNC:28439,HGNC:20407,0
NM_005943,NM_004815,HGNC:7190,HGNC:30207,0
NM_153045,NM_001001872,HGNC:24513,HGNC:19846,0
NM_019845,NM_005421,HGNC:24201,HGNC:11557,0
NM_152393,NM_198969,HGNC:30372,HGNC:307,0
NM_032312,NM_206866,HGNC:28145,HGNC:935,0
NM_002137,NM_015313,HGNC:5033,HGNC:14193,0
NM_001986,NM_007294,HGNC:3493,HGNC:1100,0
NM_001348129,NM_001207020,HGNC:50713,HGNC:18351,0
NM_022465,NM_057168,HGNC:13179,HGNC:16267,0
NM_001884,NM_012274,HGNC:2380,HGNC:18417,0
NM_182507,NM_014797,HGNC:27056,HGNC:21143,0
NM_018652,NM_004392,HGNC:32205,HGNC:2663,0
NR_003003,NM_006443,HGNC:32574,HGNC:21218,0
NR_002212,NM_001796,HGNC:18012,HGNC:1767,0
NM_031310,NR_003342.1,HGNC:13635,HGNC:33044,0
NM_001285,NM_020710,HGNC:2015,HGNC:29207,0
NG_000002,NM_012138,HGNC:5897,HGNC:19235,0
NM_007168,NM_001001670,HGNC:38,HGNC:37283,0
NM_002218,NM_024330,HGNC:6169,HGNC:10997,0
NM_001042575,NM_001037732,HGNC:30846,HGNC:18106,0
NM_002078,NM_182542,HGNC:4427,HGNC:26523,0
NM_144967,NM_032433,HGNC:26388,HGNC:15624,0
NM_172138,NM_020154,HGNC:18364,HGNC:24301,0
NM_001199103.1,NM_000319,HGNC:38831,HGNC:9719,0
NM_032898,NM_005631,HGNC:28209,HGNC:11119,0
NM_006220,NM_033282,HGNC:8985,HGNC:14449,0
NM_001003665,NM_001333,HGNC:30491,HGNC:2538,0
NM_012339,NM_020364,HGNC:23298,HGNC:15965,0
NM_015199,NM_005462,HGNC:29024,HGNC:6812,0
NM_022762,NM_022484,HGNC:26181,HGNC:25826,0
NM_003068,NM_194272,HGNC:11094,HGNC:19098,0
NM_024037,NM_001044305,HGNC:28363,HGNC:19651,0
NM_012276,NM_013335,HGNC:15503,HGNC:22923,0
NM_003383,NM_014737,HGNC:12698,HGNC:9883,0
NR_003613,NM_018366,HGNC:9123,HGNC:24206,0
NM_013943,NR_002147,HGNC:13518,HGNC:31038,0
NM_174917,NM_003637,HGNC:27288,HGNC:6135,0
NM_016122,NM_015107,HGNC:17966,HGNC:20672,0
NM_019079,NM_206918,HGNC:25595,HGNC:20113,0
NM_017868,NM_005293,HGNC:23700,HGNC:4475,0
NM_014736,NM_031941,HGNC:28961,HGNC:24058,0
NM_022135,NM_018098,HGNC:17648,HGNC:3155,0
NM_001142447,NM_001080475,HGNC:808,HGNC:34006,0
NM_017771,NR_000006,HGNC:23326,HGNC:10144,0
NM_014384,NM_001011699,HGNC:87,HGNC:30532,0
NM_018664,NM_030647,HGNC:28915,HGNC:22224,0
NM_001004747,NM_000362,HGNC:15297,HGNC:11822,0
NM_024613,NM_001872,HGNC:20757,HGNC:2300,0
NM_181885,NM_016019,HGNC:14666,HGNC:21608,0
NM_001040451,NM_144583,HGNC:19760,HGNC:18264,0
NM_032765,NM_007138,HGNC:19024,HGNC:13165,0
NM_175066,NM_152665,HGNC:20082,HGNC:26882,0
NM_080390,NM_015978,HGNC:29818,HGNC:19661,0
NM_012242,NM_001031,HGNC:2891,HGNC:10418,0
NM_203288,NM_001074,HGNC:10288,HGNC:12554,0
NM_001037666,NM_004163,HGNC:34423,HGNC:9767,0
NM_152286,NM_144620,HGNC:24768,HGNC:28228,0
NM_005618,NM_014887,HGNC:2908,HGNC:26916,0
NR_003005,NM_019903,HGNC:32560,HGNC:245,0
NM_030920,NM_033198,HGNC:16673,HGNC:14937,0
NM_001037663,NM_006530,HGNC:3208,HGNC:24859,0
NM_012454,NG_001332,HGNC:11806,HGNC:12122,0
NM_007293,NM_001127257,HGNC:1323,HGNC:20861,0
NM_015166,NM_024108,HGNC:17082,HGNC:23069,0
NM_001350920,NM_138796,HGNC:32378,HGNC:25184,0
NM_016354,NR_030213,HGNC:10953,HGNC:32123,0
NM_005658,NM_001159,HGNC:12031,HGNC:553,0
NM_030978,NM_005298,HGNC:23366,HGNC:4480,0
NM_020873,NM_016647,HGNC:20980,HGNC:29656,0
NM_012261,NM_005210,HGNC:16097,HGNC:2409,0
NR_145758,NM_001162491,HGNC:52238,HGNC:31709,0
NM_170743,NM_001099338,HGNC:18584,HGNC:23438,0
NM_003978,NM_014325,HGNC:9580,HGNC:2254,0
NM_001080526,NM_014834,HGNC:3563,HGNC:29069,0
NM_001145030,NM_018352,HGNC:24746,HGNC:25638,0
NG_001019,NG_001332,HGNC:5610,HGNC:12120,0
NM_017432,NM_005091,HGNC:9632,HGNC:8904,0
NM_005103,NM_015557,HGNC:3659,HGNC:16816,0
NM_006356,NM_007085,HGNC:845,HGNC:3972,0
NM_001001683,NM_002696,HGNC:32687,HGNC:9194,0
NM_002365,NM_178562,HGNC:6810,HGNC:28743,0
NM_015275,NM_002350,HGNC:29174,HGNC:6735,0
NM_001038705,NM_001128215,HGNC:23627,HGNC:23455,0
NM_030792,NM_001145442,HGNC:28804,HGNC:37096,0
NM_018482,NM_002994,HGNC:2720,HGNC:10642,0
NR_029975,NM_001004752,HGNC:32055,HGNC:15196,0
NR_030633,NM_006809,HGNC:33680,HGNC:15746,0
NM_020475,NM_002536,HGNC:492,HGNC:8092,0
NM_016045,NM_031475,HGNC:15892,HGNC:13281,0
NM_004262,NR_029894,HGNC:24059,HGNC:31761,0
NM_080721,NR_024228,HGNC:16116,HGNC:34311,0
NM_001145712,NM_002214,HGNC:44164,HGNC:6163,0
NM_172361,NM_080662,HGNC:6953,HGNC:20208,0
NM_001664,NR_030593,HGNC:667,HGNC:33649,0
NR_145733,NM_194285,HGNC:52246,HGNC:26818,0
NR_030210,NR_022011,HGNC:32120,HGNC:30001,0
NM_016322,NR_132742,HGNC:16524,HGNC:51913,0
NR_002563,NM_005095,HGNC:10149,HGNC:13055,0
NM_001005272,NM_052920,HGNC:15162,HGNC:29404,0
NM_001004711,NM_007286,HGNC:15178,HGNC:30672,0
NG_002699,NM_001136483,HGNC:24826,HGNC:37241,0
NM_001099790,NM_005413,HGNC:24908,HGNC:10889,0
NM_024315,NM_014244,HGNC:21707,HGNC:218,0
NM_001001965,NM_001001552,HGNC:14852,HGNC:18725,0
NM_014691,NM_004466,HGNC:29513,HGNC:4453,0
NR_126059,NM_005602,HGNC:27333,HGNC:8514,0
NM_032859,NM_020346,HGNC:20293,HGNC:16703,0
NM_080417,NR_003308.1,HGNC:9165,HGNC:33035,0
NR_003220.1,NM_032591,HGNC:33015,HGNC:17123,0
NM_015155,NM_006098,HGNC:28987,HGNC:4399,0
NM_016275,NM_002621,HGNC:18136,HGNC:8864,0
NM_019083,NM_001159542,HGNC:25502,HGNC:9223,0
NM_174926,NM_019594,HGNC:28280,HGNC:19027,0
NM_172240,NM_001004702,HGNC:30836,HGNC:14697,0
NM_194303,NM_001571,HGNC:23523,HGNC:6118,0
NM_144777,NM_024897,HGNC:10573,HGNC:30132,0
NM_001983,NM_017953,HGNC:3433,HGNC:26089,0
NM_014761,NM_182607,HGNC:28977,HGNC:28675,0
NM_022893,NM_138375,HGNC:13221,HGNC:25097,0
NM_178130,NM_033281,HGNC:21343,HGNC:16631,0
NM_058238,NM_001130699,HGNC:12787,HGNC:21204,0
NM_002874,NM_001012415,HGNC:9813,HGNC:27845,0
NM_021183,NM_017817,HGNC:21165,HGNC:18260,0
NM_018254,NM_014368,HGNC:25594,HGNC:21735,0
NM_001012716,NM_014020,HGNC:29553,HGNC:29596,0
NM_014209,NM_001366603,HGNC:3491,HGNC:54084,0
NM_173807,NM_031477,HGNC:28491,HGNC:18327,0
NM_015338,NM_015381,HGNC:18318,HGNC:21592,0
NM_144594,NM_153758,HGNC:26565,HGNC:5990,0
NM_014994,NM_012098,HGNC:29536,HGNC:490,0
NM_001007595,NR_002738,HGNC:33628,HGNC:10207,0
NM_133367,NM_173680,HGNC:15708,HGNC:28501,0
NM_013363,NM_006070,HGNC:8739,HGNC:11758,0
NM_001012276,NM_024671,HGNC:24074,HGNC:26273,0
NM_001029858,NM_030793,HGNC:21483,HGNC:28844,0
NM_175884,NM_001085480,HGNC:26685,HGNC:21549,0
XR_078406,NM_001017930,HGNC:34037,HGNC:31810,0
NM_017726,NM_020689,HGNC:14953,HGNC:10977,0
NM_014357,NM_002272,HGNC:16610,HGNC:6441,0
NM_032182,NM_001025231,HGNC:28975,HGNC:31823,0
NM_001245,NM_033664,HGNC:10875,HGNC:1750,0
NM_005125,NM_001004460,HGNC:1613,HGNC:8161,0
NG_011458,NM_174914,HGNC:16319,HGNC:27266,0
NR_001452,NM_018157,HGNC:31803,HGNC:25555,0
NM_024306,NM_018114,HGNC:21197,HGNC:25536,0
NM_144998,NM_003580,HGNC:11422,HGNC:8017,0
NR_149353,NM_015952,HGNC:32040,HGNC:20993,0
NR_003035,NM_152366,HGNC:32605,HGNC:28489,0
NM_006364,NM_015669,HGNC:10701,HGNC:8690,0
NM_015983,NM_152398,HGNC:21647,HGNC:28685,0
NM_152434,NM_031450,HGNC:26508,HGNC:28801,0
NM_178451,NM_003002,HGNC:21000,HGNC:10683,0
NM_006016,NM_004804,HGNC:1632,HGNC:14280,0
NM_006406,NR_145819,HGNC:17169,HGNC:53514,0
NM_015409,NM_182566,HGNC:11958,HGNC:30387,0
NG_006012,NR_027421,HGNC:1649,HGNC:23668,0
NM_006923,NM_018429,HGNC:10675,HGNC:13652,0
NM_016474,NM_032836,HGNC:28033,HGNC:25917,0
NM_005481,NM_024583,HGNC:17556,HGNC:30382,0
NM_001012661,NM_001144995,HGNC:11026,HGNC:35459,0
NM_019043,NM_021636,HGNC:17379,HGNC:19719,0
NM_015265,NM_007173,HGNC:21637,HGNC:14370,0
NM_006391,NM_024888,HGNC:9852,HGNC:23497,0
NM_014412,NM_016094,HGNC:30423,HGNC:24993,0
NM_020360,NM_018049,HGNC:16495,HGNC:18211,0
NR_029892,NM_002081,HGNC:31762,HGNC:4449,0
NM_006349,NM_207354,HGNC:21688,HGNC:27880,0
NM_015265,NM_015073,HGNC:21637,HGNC:23801,0
NM_012293,NM_138422,HGNC:14966,HGNC:25151,0
NM_145891,NM_012116,HGNC:18222,HGNC:15961,0
NM_153354,NM_182575,HGNC:28483,HGNC:28539,0
NM_015982,NM_017509,HGNC:17948,HGNC:20453,0
NM_001080143,NM_004123,HGNC:33285,HGNC:4270,0
NM_024755,NM_004579,HGNC:20709,HGNC:6864,0
NM_174889,NM_001306084,HGNC:28086,HGNC:26456,0
NM_021103,NM_006357,HGNC:11879,HGNC:12479,0
NM_014570,NM_001256853,HGNC:661,HGNC:44440,0
NM_014432,NM_005135,HGNC:6003,HGNC:10914,0
NM_175876,NM_178120,HGNC:24659,HGNC:2914,0
NM_001005185,NM_173611,HGNC:15034,HGNC:26773,0
NR_029867,NR_024251,HGNC:31868,HGNC:44097,0
NM_003588,NM_005342,HGNC:2555,HGNC:5004,0
NM_003184,NM_024301,HGNC:11536,HGNC:17997,0
NR_030533,NM_001114357,HGNC:33351,HGNC:34346,0
NR_029691,NM_005638,HGNC:31641,HGNC:11486,0
NG_016722,NM_139353,HGNC:32686,HGNC:11534,0
NM_194325,NM_014293,HGNC:13090,HGNC:7954,0
NR_003047,NM_001007033,HGNC:32717,HGNC:14556,0
NM_014837,NR_027379,HGNC:16792,HGNC:26647,0
NM_177532,NM_006147,HGNC:20796,HGNC:6121,0
NM_203288,NM_144664,HGNC:10288,HGNC:28492,0
NM_052844,NM_022054,HGNC:28296,HGNC:6275,0
NM_005302,NR_030330,HGNC:4494,HGNC:32798,0
NM_017967,NM_003824,HGNC:26098,HGNC:3573,0
NM_052859,NM_001081268,HGNC:30220,HGNC:34407,0
NM_213603,NM_017845,HGNC:27801,HGNC:26036,0
NM_032957,NM_182533,HGNC:15888,HGNC:26428,0
NM_019083,NG_001332,HGNC:25502,HGNC:12141,0
NM_006678,NM_018369,HGNC:19320,HGNC:24902,0
NG_000002,NG_001333,HGNC:5861,HGNC:12217,0
NM_033318,NM_173462,HGNC:25055,HGNC:19262,0
NM_001001411,NM_133471,HGNC:20429,HGNC:29413,0
NM_018264,NM_152356,HGNC:25598,HGNC:23706,0
NM_001003693,NM_014885,HGNC:13933,HGNC:24077,0
NM_015666,NM_006406,HGNC:16239,HGNC:17169,0
NM_014603,NM_175900,HGNC:29999,HGNC:26649,0
NM_020649,NG_045217,HGNC:15962,HGNC:49760,0
NM_001010905,NR_030378,HGNC:20960,HGNC:32904,0
NR_145731,NM_019005,HGNC:50434,HGNC:21905,0
NM_152274,NR_145757,HGNC:28434,HGNC:52234,0
NM_176886,NM_022064,HGNC:18876,HGNC:21148,0
NM_016442,NR_003009,HGNC:18173,HGNC:32564,0
NM_018317,NM_199352,HGNC:25624,HGNC:32935,0
NM_080666,NM_001101,HGNC:20489,HGNC:132,0
NM_007363,NM_020127,HGNC:7871,HGNC:12422,0
NM_000126,NM_001010898,HGNC:3481,HGNC:31399,0
NM_030634,NR_030221,HGNC:20814,HGNC:32131,0
NM_018289,NM_001031854,HGNC:25608,HGNC:34391,0
NM_019083,NM_001304369,HGNC:25502,HGNC:16217,0
NM_198271,NM_001130083,HGNC:6649,HGNC:19195,0
NM_001127213,NM_005183,HGNC:6727,HGNC:1393,0
NM_021020,NM_007353,HGNC:13861,HGNC:4380,0
NM_173463,NM_018211,HGNC:25405,HGNC:25577,0
NM_173690,NM_030969,HGNC:26709,HGNC:21384,0
NR_030257,NM_178351,HGNC:32530,HGNC:29464,0
NM_177531,NM_152460,HGNC:20313,HGNC:26480,0
NM_013437,NM_005564,HGNC:31708,HGNC:6526,0
NM_004330,NM_015253,HGNC:1083,HGNC:29060,0
NM_014308,NG_001332,HGNC:30035,HGNC:12146,0
NM_018330,NM_001141936,HGNC:29319,HGNC:34437,0
NM_004041,NM_173569,HGNC:711,HGNC:21931,0
NM_001040011,NR_003021,HGNC:31412,HGNC:32665,0
NM_001085423,NM_153708,HGNC:27570,HGNC:28580,0
NM_020185,NR_029841,HGNC:16077,HGNC:31618,0
NM_001134462,NM_005934,HGNC:31839,HGNC:7134,0
NM_020192,NM_001136002,HGNC:24857,HGNC:37279,0
NM_152901,NM_144702,HGNC:30261,HGNC:26556,0
NM_001014999,NG_002247,HGNC:20922,HGNC:14702,0
NM_201520,NM_003959,HGNC:31921,HGNC:18415,0
NR_106969,NR_004426,HGNC:50150,HGNC:37500,0
