,0,1,2,3,4,5,6
11,"{'meta_path_rank': 1765.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:9399', 'gene2': 'G:HGNC:451', 'total_rank': 5648.0}","{'meta_path_rank': 509.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:9399', 'gene2': 'G:HGNC:451', 'total_rank': 746.0}","{'meta_path_rank': 400.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:9399', 'gene2': 'G:HGNC:451', 'total_rank': 639.0}","{'meta_path_rank': 2908.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:9399', 'gene2': 'G:HGNC:451', 'total_rank': 4313.0}","{'meta_path_rank': 5397.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:9399', 'gene2': 'G:HGNC:451', 'total_rank': 5863.0}",,
12,"{'meta_path_rank': 33.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:417', 'gene2': 'G:HGNC:25481', 'total_rank': 333.0}","{'meta_path_rank': 63.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:417', 'gene2': 'G:HGNC:25481', 'total_rank': 5733.0}",,,,,
13,"{'meta_path_rank': 253.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:21406', 'gene2': 'G:HGNC:251', 'total_rank': 367.0}","{'meta_path_rank': 1381.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:21406', 'gene2': 'G:HGNC:251', 'total_rank': 5720.0}",,,,,
14,"{'meta_path_rank': 371.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:25223', 'gene2': 'G:HGNC:15517', 'total_rank': 457.0}","{'meta_path_rank': 2457.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:25223', 'gene2': 'G:HGNC:15517', 'total_rank': 5773.0}","{'meta_path_rank': 44.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:25223', 'gene2': 'G:HGNC:15517', 'total_rank': 422.0}","{'meta_path_rank': 2184.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:25223', 'gene2': 'G:HGNC:15517', 'total_rank': 2528.0}",,,
15,"{'meta_path_rank': 246.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:9115', 'gene2': 'G:HGNC:1133', 'total_rank': 405.0}","{'meta_path_rank': 1684.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:9115', 'gene2': 'G:HGNC:1133', 'total_rank': 5788.0}","{'meta_path_rank': 265.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:9115', 'gene2': 'G:HGNC:1133', 'total_rank': 577.0}","{'meta_path_rank': 213.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:9115', 'gene2': 'G:HGNC:1133', 'total_rank': 2441.0}","{'meta_path_rank': 149.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:9115', 'gene2': 'G:HGNC:1133', 'total_rank': 4529.0}",,
16,"{'meta_path_rank': 2018.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:2976', 'gene2': 'G:HGNC:5330', 'total_rank': 5714.0}","{'meta_path_rank': 397.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:2976', 'gene2': 'G:HGNC:5330', 'total_rank': 510.0}","{'meta_path_rank': 411.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:2976', 'gene2': 'G:HGNC:5330', 'total_rank': 629.0}","{'meta_path_rank': 4051.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:2976', 'gene2': 'G:HGNC:5330', 'total_rank': 5176.0}","{'meta_path_rank': 4453.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:2976', 'gene2': 'G:HGNC:5330', 'total_rank': 6342.0}",,
17,"{'meta_path_rank': 133.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:9305', 'gene2': 'G:HGNC:21406', 'total_rank': 354.0}","{'meta_path_rank': 1156.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:9305', 'gene2': 'G:HGNC:21406', 'total_rank': 5674.0}","{'meta_path_rank': 109.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:9305', 'gene2': 'G:HGNC:21406', 'total_rank': 318.0}","{'meta_path_rank': 1552.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:9305', 'gene2': 'G:HGNC:21406', 'total_rank': 3215.0}",,,
18,"{'meta_path_rank': 310.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:6840', 'gene2': 'G:HGNC:3579', 'total_rank': 549.0}","{'meta_path_rank': 2031.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:6840', 'gene2': 'G:HGNC:3579', 'total_rank': 5816.0}","{'meta_path_rank': 503.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:6840', 'gene2': 'G:HGNC:3579', 'total_rank': 662.0}","{'meta_path_rank': 429.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:6840', 'gene2': 'G:HGNC:3579', 'total_rank': 632.0}","{'meta_path_rank': 2834.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:6840', 'gene2': 'G:HGNC:3579', 'total_rank': 4276.0}","{'meta_path_rank': 3699.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:6840', 'gene2': 'G:HGNC:3579', 'total_rank': 5269.0}",
19,"{'meta_path_rank': 3027.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:327', 'gene2': 'G:HGNC:7631', 'total_rank': 5604.0}",,,,,,
20,"{'meta_path_rank': 2606.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:15629', 'gene2': 'G:HGNC:8931', 'total_rank': 5698.0}","{'meta_path_rank': 212.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:15629', 'gene2': 'G:HGNC:8931', 'total_rank': 400.0}","{'meta_path_rank': 4771.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:15629', 'gene2': 'G:HGNC:8931', 'total_rank': 5013.0}",,,,
21,"{'meta_path_rank': 3210.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:7436', 'gene2': 'G:HGNC:4204', 'total_rank': 4132.0}","{'meta_path_rank': 1546.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:7436', 'gene2': 'G:HGNC:4204', 'total_rank': 2868.0}","{'meta_path_rank': 38.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:7436', 'gene2': 'G:HGNC:4204', 'total_rank': 3666.0}",,,,
22,"{'meta_path_rank': 2780.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:2689', 'gene2': 'G:HGNC:2519', 'total_rank': 4708.0}","{'meta_path_rank': 183.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:2689', 'gene2': 'G:HGNC:2519', 'total_rank': 417.0}",,,,,
23,"{'meta_path_rank': 296.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:1848', 'gene2': 'G:HGNC:1480', 'total_rank': 534.0}",,,,,,
24,"{'meta_path_rank': 1293.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:9689', 'gene2': 'G:HGNC:11992', 'total_rank': 5769.0}","{'meta_path_rank': 241.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:9689', 'gene2': 'G:HGNC:11992', 'total_rank': 423.0}","{'meta_path_rank': 1925.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:9689', 'gene2': 'G:HGNC:11992', 'total_rank': 2851.0}","{'meta_path_rank': 3520.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:9689', 'gene2': 'G:HGNC:11992', 'total_rank': 4964.0}",,,
25,"{'meta_path_rank': 345.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:392', 'gene2': 'G:HGNC:9040', 'total_rank': 576.0}","{'meta_path_rank': 1818.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:392', 'gene2': 'G:HGNC:9040', 'total_rank': 4425.0}","{'meta_path_rank': 4894.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:392', 'gene2': 'G:HGNC:9040', 'total_rank': 5828.0}",,,,
26,"{'meta_path_rank': 2800.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:2321', 'gene2': 'G:HGNC:30260', 'total_rank': 5256.0}","{'meta_path_rank': 31.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:2321', 'gene2': 'G:HGNC:30260', 'total_rank': 329.0}","{'meta_path_rank': 578.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:2321', 'gene2': 'G:HGNC:30260', 'total_rank': 860.0}","{'meta_path_rank': 4083.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:2321', 'gene2': 'G:HGNC:30260', 'total_rank': 5731.0}","{'meta_path_rank': 4963.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:2321', 'gene2': 'G:HGNC:30260', 'total_rank': 6231.0}",,
27,"{'meta_path_rank': 4027.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:19743', 'gene2': 'G:HGNC:9411', 'total_rank': 4723.0}","{'meta_path_rank': 55.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:19743', 'gene2': 'G:HGNC:9411', 'total_rank': 1581.0}",,,,,
28,"{'meta_path_rank': 2699.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:10872', 'gene2': 'G:HGNC:4570', 'total_rank': 5512.0}",,,,,,
29,"{'meta_path_rank': 271.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:8021', 'gene2': 'G:HGNC:4817', 'total_rank': 438.0}","{'meta_path_rank': 2308.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:8021', 'gene2': 'G:HGNC:4817', 'total_rank': 3863.0}","{'meta_path_rank': 3212.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:8021', 'gene2': 'G:HGNC:4817', 'total_rank': 5329.0}",,,,
30,"{'meta_path_rank': 3543.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:8547', 'gene2': 'G:HGNC:22140', 'total_rank': 4593.0}","{'meta_path_rank': 227.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:8547', 'gene2': 'G:HGNC:22140', 'total_rank': 385.0}","{'meta_path_rank': 1463.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:8547', 'gene2': 'G:HGNC:22140', 'total_rank': 3029.0}","{'meta_path_rank': 153.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:8547', 'gene2': 'G:HGNC:22140', 'total_rank': 5061.0}",,,
31,"{'meta_path_rank': 306.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:2859', 'gene2': 'G:HGNC:2858', 'total_rank': 560.0}","{'meta_path_rank': 720.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:2859', 'gene2': 'G:HGNC:2858', 'total_rank': 5870.0}","{'meta_path_rank': 209.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:2859', 'gene2': 'G:HGNC:2858', 'total_rank': 523.0}",,,,
32,"{'meta_path_rank': 353.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:8032', 'gene2': 'G:HGNC:19358', 'total_rank': 433.0}","{'meta_path_rank': 2276.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:8032', 'gene2': 'G:HGNC:19358', 'total_rank': 5766.0}","{'meta_path_rank': 8.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:8032', 'gene2': 'G:HGNC:19358', 'total_rank': 220.0}",,,,
33,"{'meta_path_rank': 3468.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:7432', 'gene2': 'G:HGNC:9302', 'total_rank': 5473.0}","{'meta_path_rank': 112.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:7432', 'gene2': 'G:HGNC:9302', 'total_rank': 565.0}","{'meta_path_rank': 662.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:7432', 'gene2': 'G:HGNC:9302', 'total_rank': 4173.0}","{'meta_path_rank': 332.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:7432', 'gene2': 'G:HGNC:9302', 'total_rank': 6618.0}",,,
34,"{'meta_path_rank': 3203.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:758', 'gene2': 'G:HGNC:1912', 'total_rank': 5678.0}","{'meta_path_rank': 197.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:758', 'gene2': 'G:HGNC:1912', 'total_rank': 514.0}",,,,,
35,"{'meta_path_rank': 4941.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:8022', 'gene2': 'G:HGNC:4335', 'total_rank': 4966.0}","{'meta_path_rank': 179.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:8022', 'gene2': 'G:HGNC:4335', 'total_rank': 372.0}","{'meta_path_rank': 743.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:8022', 'gene2': 'G:HGNC:4335', 'total_rank': 893.0}","{'meta_path_rank': 2014.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:8022', 'gene2': 'G:HGNC:4335', 'total_rank': 2948.0}","{'meta_path_rank': 151.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:8022', 'gene2': 'G:HGNC:4335', 'total_rank': 4089.0}",,
36,"{'meta_path_rank': 411.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:757', 'gene2': 'G:HGNC:5213', 'total_rank': 481.0}","{'meta_path_rank': 3082.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:757', 'gene2': 'G:HGNC:5213', 'total_rank': 5501.0}","{'meta_path_rank': 436.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:757', 'gene2': 'G:HGNC:5213', 'total_rank': 2538.0}","{'meta_path_rank': 782.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:757', 'gene2': 'G:HGNC:5213', 'total_rank': 4522.0}",,,
37,"{'meta_path_rank': 2269.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:29812', 'gene2': 'G:HGNC:24650', 'total_rank': 5690.0}","{'meta_path_rank': 153.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:29812', 'gene2': 'G:HGNC:24650', 'total_rank': 495.0}","{'meta_path_rank': 3102.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:29812', 'gene2': 'G:HGNC:24650', 'total_rank': 3788.0}",,,,
38,"{'meta_path_rank': 2220.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:10537', 'gene2': 'G:HGNC:2731', 'total_rank': 5712.0}","{'meta_path_rank': 342.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:10537', 'gene2': 'G:HGNC:2731', 'total_rank': 546.0}","{'meta_path_rank': 2345.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:10537', 'gene2': 'G:HGNC:2731', 'total_rank': 3499.0}","{'meta_path_rank': 4027.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:10537', 'gene2': 'G:HGNC:2731', 'total_rank': 4759.0}",,,
39,"{'meta_path_rank': 1878.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:9751', 'gene2': 'G:HGNC:321', 'total_rank': 5756.0}","{'meta_path_rank': 114.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:9751', 'gene2': 'G:HGNC:321', 'total_rank': 445.0}","{'meta_path_rank': 24.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:9751', 'gene2': 'G:HGNC:321', 'total_rank': 411.0}","{'meta_path_rank': 1385.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:9751', 'gene2': 'G:HGNC:321', 'total_rank': 2798.0}","{'meta_path_rank': 2510.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:9751', 'gene2': 'G:HGNC:321', 'total_rank': 4657.0}",,
40,"{'meta_path_rank': 2644.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:794', 'gene2': 'G:HGNC:18466', 'total_rank': 5703.0}","{'meta_path_rank': 868.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:794', 'gene2': 'G:HGNC:18466', 'total_rank': 1021.0}","{'meta_path_rank': 3004.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:794', 'gene2': 'G:HGNC:18466', 'total_rank': 3661.0}","{'meta_path_rank': 3420.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:794', 'gene2': 'G:HGNC:18466', 'total_rank': 5091.0}",,,
41,"{'meta_path_rank': 3566.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:794', 'gene2': 'G:HGNC:362', 'total_rank': 4957.0}","{'meta_path_rank': 166.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:794', 'gene2': 'G:HGNC:362', 'total_rank': 339.0}","{'meta_path_rank': 3571.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:794', 'gene2': 'G:HGNC:362', 'total_rank': 4313.0}","{'meta_path_rank': 4313.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:794', 'gene2': 'G:HGNC:362', 'total_rank': 5983.0}",,,
42,"{'meta_path_rank': 3941.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:21042', 'gene2': 'G:HGNC:1247', 'total_rank': 5148.0}","{'meta_path_rank': 184.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:21042', 'gene2': 'G:HGNC:1247', 'total_rank': 370.0}",,,,,
43,"{'meta_path_rank': 66.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:9314', 'gene2': 'G:HGNC:7468', 'total_rank': 373.0}","{'meta_path_rank': 169.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:9314', 'gene2': 'G:HGNC:7468', 'total_rank': 5728.0}","{'meta_path_rank': 322.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:9314', 'gene2': 'G:HGNC:7468', 'total_rank': 510.0}","{'meta_path_rank': 179.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:9314', 'gene2': 'G:HGNC:7468', 'total_rank': 501.0}","{'meta_path_rank': 1762.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:9314', 'gene2': 'G:HGNC:7468', 'total_rank': 3674.0}","{'meta_path_rank': 3244.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:9314', 'gene2': 'G:HGNC:7468', 'total_rank': 5780.0}",
44,"{'meta_path_rank': 365.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:23657', 'gene2': 'G:HGNC:291', 'total_rank': 449.0}","{'meta_path_rank': 784.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:23657', 'gene2': 'G:HGNC:291', 'total_rank': 5812.0}","{'meta_path_rank': 165.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:23657', 'gene2': 'G:HGNC:291', 'total_rank': 359.0}",,,,
45,"{'meta_path_rank': 1764.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:7432', 'gene2': 'G:HGNC:7892', 'total_rank': 5519.0}","{'meta_path_rank': 172.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:7432', 'gene2': 'G:HGNC:7892', 'total_rank': 479.0}","{'meta_path_rank': 2214.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:7432', 'gene2': 'G:HGNC:7892', 'total_rank': 4516.0}","{'meta_path_rank': 646.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:7432', 'gene2': 'G:HGNC:7892', 'total_rank': 6336.0}",,,
46,"{'meta_path_rank': 2169.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:23141', 'gene2': 'G:HGNC:6176', 'total_rank': 5417.0}",,,,,,
47,"{'meta_path_rank': 2474.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:6530', 'gene2': 'G:HGNC:8636', 'total_rank': 5121.0}",,,,,,
48,"{'meta_path_rank': 187.0, 'meta_path': 'GDpDG', 'gene1': 'G:HGNC:19331', 'gene2': 'G:HGNC:29594', 'total_rank': 327.0}","{'meta_path_rank': 1435.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:19331', 'gene2': 'G:HGNC:29594', 'total_rank': 5709.0}","{'meta_path_rank': 480.0, 'meta_path': 'GMG', 'gene1': 'G:HGNC:19331', 'gene2': 'G:HGNC:29594', 'total_rank': 1614.0}","{'meta_path_rank': 2440.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:19331', 'gene2': 'G:HGNC:29594', 'total_rank': 3728.0}","{'meta_path_rank': 883.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:19331', 'gene2': 'G:HGNC:29594', 'total_rank': 5505.0}",,
49,"{'meta_path_rank': 3347.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:5218', 'gene2': 'G:HGNC:2602', 'total_rank': 5401.0}","{'meta_path_rank': 100.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:5218', 'gene2': 'G:HGNC:2602', 'total_rank': 324.0}",,,,,
50,"{'meta_path_rank': 1724.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:800', 'gene2': 'G:HGNC:17095', 'total_rank': 5647.0}","{'meta_path_rank': 377.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:800', 'gene2': 'G:HGNC:17095', 'total_rank': 478.0}","{'meta_path_rank': 895.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:800', 'gene2': 'G:HGNC:17095', 'total_rank': 2837.0}","{'meta_path_rank': 2239.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:800', 'gene2': 'G:HGNC:17095', 'total_rank': 4243.0}",,,
51,"{'meta_path_rank': 2536.0, 'meta_path': 'GDpDpDG', 'gene1': 'G:HGNC:25792', 'gene2': 'G:HGNC:17341', 'total_rank': 5612.0}",,,,,,
52,"{'meta_path_rank': 343.0, 'meta_path': 'GTG', 'gene1': 'G:HGNC:12513', 'gene2': 'G:HGNC:232', 'total_rank': 517.0}","{'meta_path_rank': 1531.0, 'meta_path': 'GMDMG', 'gene1': 'G:HGNC:12513', 'gene2': 'G:HGNC:232', 'total_rank': 3099.0}","{'meta_path_rank': 3247.0, 'meta_path': 'GMDpDMG', 'gene1': 'G:HGNC:12513', 'gene2': 'G:HGNC:232', 'total_rank': 5008.0}",,,,
