,gene1,gene2,meta_path,meta_path_rank,total_rank
3,G:HGNC:25582,G:HGNC:32008,GMDpDMG,2151,6181
2,G:HGNC:25582,G:HGNC:32008,GMDMG,2188,4140
0,G:HGNC:24866,G:HGNC:11641,GTG,550,662
1,G:HGNC:24866,G:HGNC:11641,GMG,1205,1891
2,G:HGNC:24866,G:HGNC:11641,GMDMG,2153,5129
3,G:HGNC:24866,G:HGNC:11641,GMDpDMG,2183,6462
2,G:HGNC:23247,G:HGNC:13429,GMDMG,373,5796
3,G:HGNC:23247,G:HGNC:13429,GMDpDMG,813,7271
1,G:HGNC:23247,G:HGNC:13429,GMG,1350,2269
0,G:HGNC:23247,G:HGNC:13429,GDpDpDG,3564,5505
0,G:HGNC:26813,G:HGNC:9588,GMG,1168,1374
1,G:HGNC:26813,G:HGNC:9588,GMDMG,5150,6073
2,G:HGNC:26813,G:HGNC:9588,GMDpDMG,5498,6567
3,G:HGNC:2079,G:HGNC:6698,GMDMG,254,3562
1,G:HGNC:2079,G:HGNC:6698,GTG,461,594
2,G:HGNC:2079,G:HGNC:6698,GMG,549,994
4,G:HGNC:2079,G:HGNC:6698,GMDpDMG,2252,6487
0,G:HGNC:2079,G:HGNC:6698,GDpDpDG,3989,5431
2,G:HGNC:9759,G:HGNC:9966,GMDMG,443,7683
0,G:HGNC:9759,G:HGNC:9966,GTG,684,799
3,G:HGNC:9759,G:HGNC:9966,GMDpDMG,768,7954
1,G:HGNC:9759,G:HGNC:9966,GMG,892,1627
0,G:HGNC:2457,G:HGNC:12382,GDpDG,290,397
2,G:HGNC:2457,G:HGNC:12382,GTG,443,559
4,G:HGNC:2457,G:HGNC:12382,GMDMG,586,4836
3,G:HGNC:2457,G:HGNC:12382,GMG,1045,1360
5,G:HGNC:2457,G:HGNC:12382,GMDpDMG,2297,6601
1,G:HGNC:2457,G:HGNC:12382,GDpDpDG,2384,5626
0,G:HGNC:6889,G:HGNC:9588,GTG,649,966
1,G:HGNC:6889,G:HGNC:9588,GMG,775,1737
3,G:HGNC:6889,G:HGNC:9588,GMDpDMG,2377,7923
2,G:HGNC:6889,G:HGNC:9588,GMDMG,2990,7784
0,G:HGNC:2747,G:HGNC:9944,GTG,229,617
1,G:HGNC:2747,G:HGNC:9944,GMG,1193,1258
3,G:HGNC:2747,G:HGNC:9944,GMDpDMG,4576,5824
2,G:HGNC:2747,G:HGNC:9944,GMDMG,4795,5412
0,G:HGNC:42770,G:HGNC:9556,GMG,759,2195
2,G:HGNC:42770,G:HGNC:9556,GMDpDMG,1280,7015
1,G:HGNC:42770,G:HGNC:9556,GMDMG,3050,5696
0,G:HGNC:924,G:HGNC:5363,GMG,1045,1204
1,G:HGNC:924,G:HGNC:5363,GMDMG,1257,6822
2,G:HGNC:924,G:HGNC:5363,GMDpDMG,1592,6744
0,G:HGNC:8800,G:HGNC:9955,GTG,496,1046
2,G:HGNC:8800,G:HGNC:9955,GMDpDMG,817,6212
1,G:HGNC:8800,G:HGNC:9955,GMDMG,2409,4600
0,G:HGNC:3430,G:HGNC:13399,GTG,651,718
1,G:HGNC:3430,G:HGNC:13399,GMG,1094,1265
2,G:HGNC:3430,G:HGNC:13399,GMDMG,3541,5050
3,G:HGNC:3430,G:HGNC:13399,GMDpDMG,5073,6436
0,G:HGNC:26137,G:HGNC:13140,GTG,234,549
2,G:HGNC:26137,G:HGNC:13140,GMDMG,274,3862
1,G:HGNC:26137,G:HGNC:13140,GMG,1271,1929
3,G:HGNC:26137,G:HGNC:13140,GMDpDMG,1540,6163
0,G:HGNC:990,G:HGNC:1504,GTG,22,937
1,G:HGNC:990,G:HGNC:1504,GMG,527,906
2,G:HGNC:990,G:HGNC:1504,GMDMG,2585,7856
3,G:HGNC:990,G:HGNC:1504,GMDpDMG,3430,7482
0,G:HGNC:3214,G:HGNC:28145,GTG,372,602
2,G:HGNC:3214,G:HGNC:28145,GMDMG,1506,6497
1,G:HGNC:3214,G:HGNC:28145,GMG,1610,1933
3,G:HGNC:3214,G:HGNC:28145,GMDpDMG,2239,7808
3,G:HGNC:1455,G:HGNC:9047,GMDpDMG,12,7834
2,G:HGNC:1455,G:HGNC:9047,GMDMG,70,7259
0,G:HGNC:1455,G:HGNC:9047,GTG,744,789
1,G:HGNC:1455,G:HGNC:9047,GMG,812,1906
1,G:HGNC:8142,G:HGNC:8616,GTG,541,624
2,G:HGNC:8142,G:HGNC:8616,GMG,1229,1310
0,G:HGNC:8142,G:HGNC:8616,GDpDpDG,2850,5701
0,G:HGNC:17208,G:HGNC:3649,GTG,141,486
1,G:HGNC:17208,G:HGNC:3649,GMG,555,1434
2,G:HGNC:17208,G:HGNC:3649,GMDMG,826,5839
3,G:HGNC:17208,G:HGNC:3649,GMDpDMG,2274,7361
0,G:HGNC:6267,G:HGNC:21100,GTG,194,398
1,G:HGNC:6267,G:HGNC:21100,GMG,814,1396
2,G:HGNC:6267,G:HGNC:21100,GMDMG,3086,5013
3,G:HGNC:6267,G:HGNC:21100,GMDpDMG,5509,6443
0,G:HGNC:3250,G:HGNC:7666,GTG,138,428
1,G:HGNC:3250,G:HGNC:7666,GMG,535,1367
2,G:HGNC:3250,G:HGNC:7666,GMDMG,1650,5511
3,G:HGNC:3250,G:HGNC:7666,GMDpDMG,2136,6348
0,G:HGNC:24170,G:HGNC:21529,GMG,233,1431
1,G:HGNC:24170,G:HGNC:21529,GMDMG,3295,4390
2,G:HGNC:24170,G:HGNC:21529,GMDpDMG,4364,5806
0,G:HGNC:25248,G:HGNC:17041,GMG,282,2456
1,G:HGNC:25248,G:HGNC:17041,GMDMG,1261,7361
2,G:HGNC:25248,G:HGNC:17041,GMDpDMG,1749,7526
0,G:HGNC:19768,G:HGNC:26253,GMG,844,2188
1,G:HGNC:19768,G:HGNC:26253,GMDMG,1586,4895
2,G:HGNC:19768,G:HGNC:26253,GMDpDMG,2844,7035
0,G:HGNC:30204,G:HGNC:9612,GTG,713,838
1,G:HGNC:30204,G:HGNC:9612,GMG,1200,1302
0,G:HGNC:30204,G:HGNC:6698,GTG,565,629
1,G:HGNC:30204,G:HGNC:6698,GMG,1285,1352
3,G:HGNC:30204,G:HGNC:6698,GMDpDMG,3557,6325
2,G:HGNC:30204,G:HGNC:6698,GMDMG,4049,5328
0,G:HGNC:2303,G:HGNC:28365,GTG,202,385
1,G:HGNC:2303,G:HGNC:28365,GMG,1651,1783
2,G:HGNC:2303,G:HGNC:28365,GMDMG,1818,3820
3,G:HGNC:2303,G:HGNC:28365,GMDpDMG,4081,5718
0,G:HGNC:18154,G:HGNC:10783,GTG,187,532
2,G:HGNC:18154,G:HGNC:10783,GMDMG,603,5241
1,G:HGNC:18154,G:HGNC:10783,GMG,911,1788
3,G:HGNC:18154,G:HGNC:10783,GMDpDMG,1920,6932
0,G:HGNC:16683,G:HGNC:33920,GMG,688,1828
1,G:HGNC:16683,G:HGNC:33920,GMDMG,4346,5151
2,G:HGNC:16683,G:HGNC:33920,GMDpDMG,4943,5761
0,G:HGNC:4074,G:HGNC:22973,GTG,171,421
2,G:HGNC:4074,G:HGNC:22973,GMDMG,720,4791
1,G:HGNC:4074,G:HGNC:22973,GMG,833,2228
3,G:HGNC:4074,G:HGNC:22973,GMDpDMG,3004,6158
0,G:HGNC:2684,G:HGNC:16974,GTG,190,480
1,G:HGNC:2684,G:HGNC:16974,GMG,329,1750
2,G:HGNC:2684,G:HGNC:16974,GMDMG,402,7628
3,G:HGNC:2684,G:HGNC:16974,GMDpDMG,2013,7660
0,G:HGNC:6914,G:HGNC:9008,GTG,533,672
1,G:HGNC:6914,G:HGNC:9008,GMG,962,1242
3,G:HGNC:6914,G:HGNC:9008,GMDpDMG,2504,6659
2,G:HGNC:6914,G:HGNC:9008,GMDMG,2638,5704
0,G:HGNC:17012,G:HGNC:14988,GMG,608,1716
2,G:HGNC:17012,G:HGNC:14988,GMDpDMG,690,7867
1,G:HGNC:17012,G:HGNC:14988,GMDMG,2179,6129
0,G:HGNC:1297,G:HGNC:9620,GTG,267,450
1,G:HGNC:1297,G:HGNC:9620,GMG,920,1599
3,G:HGNC:1297,G:HGNC:9620,GMDpDMG,1673,7776
2,G:HGNC:1297,G:HGNC:9620,GMDMG,2595,6235
0,G:HGNC:3373,G:HGNC:9817,GDpDG,183,312
2,G:HGNC:3373,G:HGNC:9817,GTG,586,1000
1,G:HGNC:3373,G:HGNC:9817,GDpDpDG,837,5692
5,G:HGNC:3373,G:HGNC:9817,GMDpDMG,1125,7616
3,G:HGNC:3373,G:HGNC:9817,GMG,1169,1357
4,G:HGNC:3373,G:HGNC:9817,GMDMG,1630,6907
0,G:HGNC:26813,G:HGNC:17550,GTG,90,315
1,G:HGNC:26813,G:HGNC:17550,GMG,947,1596
2,G:HGNC:26813,G:HGNC:17550,GMDMG,3421,4835
3,G:HGNC:26813,G:HGNC:17550,GMDpDMG,3609,5990
0,G:HGNC:8127,G:HGNC:8846,GTG,166,569
2,G:HGNC:8127,G:HGNC:8846,GMDMG,344,6312
3,G:HGNC:8127,G:HGNC:8846,GMDpDMG,969,7515
1,G:HGNC:8127,G:HGNC:8846,GMG,1055,1239
0,G:HGNC:1773,G:HGNC:3826,GTG,451,609
1,G:HGNC:1773,G:HGNC:3826,GMG,1452,1482
2,G:HGNC:1773,G:HGNC:3826,GMDMG,4064,6023
3,G:HGNC:1773,G:HGNC:3826,GMDpDMG,4931,6598
1,G:HGNC:26971,G:HGNC:777,GMDMG,1129,6055
0,G:HGNC:26971,G:HGNC:777,GMG,1159,1693
2,G:HGNC:26971,G:HGNC:777,GMDpDMG,1668,7050
0,G:HGNC:5467,G:HGNC:8537,GTG,508,787
2,G:HGNC:5467,G:HGNC:8537,GMDpDMG,868,6400
1,G:HGNC:5467,G:HGNC:8537,GMDMG,1726,4153
0,G:HGNC:17088,G:HGNC:18154,GTG,337,565
1,G:HGNC:17088,G:HGNC:18154,GMG,1489,1538
2,G:HGNC:17088,G:HGNC:18154,GMDMG,3657,4371
3,G:HGNC:17088,G:HGNC:18154,GMDpDMG,4348,6013
0,G:HGNC:2747,G:HGNC:29190,GTG,95,538
2,G:HGNC:2747,G:HGNC:29190,GMDMG,335,8533
1,G:HGNC:2747,G:HGNC:29190,GMG,1050,2160
3,G:HGNC:2747,G:HGNC:29190,GMDpDMG,1205,8091
1,G:HGNC:3176,G:HGNC:10887,GTG,614,940
2,G:HGNC:3176,G:HGNC:10887,GMG,834,1057
0,G:HGNC:3176,G:HGNC:10887,GDpDpDG,2388,4613
3,G:HGNC:3176,G:HGNC:10887,GMDMG,3232,4521
4,G:HGNC:3176,G:HGNC:10887,GMDpDMG,3847,5870
1,G:HGNC:1774,G:HGNC:6698,GTG,705,915
0,G:HGNC:1774,G:HGNC:6698,GDpDpDG,2907,5368
2,G:HGNC:2665,G:HGNC:6407,GTG,310,563
3,G:HGNC:2665,G:HGNC:6407,GMG,567,951
0,G:HGNC:2665,G:HGNC:6407,GDpDG,568,772
5,G:HGNC:2665,G:HGNC:6407,GMDpDMG,3062,6946
1,G:HGNC:2665,G:HGNC:6407,GDpDpDG,3108,5817
4,G:HGNC:2665,G:HGNC:6407,GMDMG,3155,6406
0,G:HGNC:587,G:HGNC:4913,GTG,358,646
2,G:HGNC:587,G:HGNC:4913,GMDMG,574,3944
1,G:HGNC:587,G:HGNC:4913,GMG,931,1238
3,G:HGNC:587,G:HGNC:4913,GMDpDMG,3438,5724
1,G:HGNC:3467,G:HGNC:5363,GMG,281,1420
0,G:HGNC:3467,G:HGNC:5363,GTG,315,935
2,G:HGNC:3467,G:HGNC:5363,GMDMG,604,5784
3,G:HGNC:3467,G:HGNC:5363,GMDpDMG,1902,6340
0,G:HGNC:2323,G:HGNC:10056,GTG,319,435
1,G:HGNC:2323,G:HGNC:10056,GMG,1374,1530
3,G:HGNC:2323,G:HGNC:10056,GMDpDMG,1566,7205
2,G:HGNC:2323,G:HGNC:10056,GMDMG,2654,6651
1,G:HGNC:24011,G:HGNC:15565,GMDMG,33,7208
0,G:HGNC:24011,G:HGNC:15565,GMG,355,2353
2,G:HGNC:24011,G:HGNC:15565,GMDpDMG,2115,7452
0,G:HGNC:2082,G:HGNC:23357,GTG,447,657
1,G:HGNC:2082,G:HGNC:23357,GMG,1029,1378
2,G:HGNC:2082,G:HGNC:23357,GMDMG,2280,4676
3,G:HGNC:2082,G:HGNC:23357,GMDpDMG,4622,6482
3,G:HGNC:389,G:HGNC:20249,GMDpDMG,94,7491
0,G:HGNC:389,G:HGNC:20249,GTG,138,399
1,G:HGNC:389,G:HGNC:20249,GMG,891,1760
2,G:HGNC:389,G:HGNC:20249,GMDMG,1078,6905
1,G:HGNC:17550,G:HGNC:17755,GTG,68,335
3,G:HGNC:17550,G:HGNC:17755,GMDpDMG,511,7090
2,G:HGNC:17550,G:HGNC:17755,GMDMG,2111,5873
0,G:HGNC:17550,G:HGNC:17755,GDpDpDG,3249,4699
2,G:HGNC:17860,G:HGNC:29187,GMDMG,30,5958
0,G:HGNC:17860,G:HGNC:29187,GTG,101,505
1,G:HGNC:17860,G:HGNC:29187,GMG,273,1512
3,G:HGNC:17860,G:HGNC:29187,GMDpDMG,932,7573
0,G:HGNC:3791,G:HGNC:6836,GTG,519,583
1,G:HGNC:3791,G:HGNC:6836,GMDMG,2448,5277
2,G:HGNC:3791,G:HGNC:6836,GMDpDMG,4100,6306
0,G:HGNC:8804,G:HGNC:11068,GTG,539,765
1,G:HGNC:8804,G:HGNC:11068,GMDMG,2703,3345
2,G:HGNC:8804,G:HGNC:11068,GMDpDMG,3645,5502
0,G:HGNC:3176,G:HGNC:4623,GMG,1265,1424
2,G:HGNC:3176,G:HGNC:4623,GMDpDMG,3541,5751
1,G:HGNC:3176,G:HGNC:4623,GMDMG,3725,4375
0,G:HGNC:2553,G:HGNC:26678,GTG,454,652
2,G:HGNC:2553,G:HGNC:26678,GMDMG,878,5167
1,G:HGNC:2553,G:HGNC:26678,GMG,1259,1417
3,G:HGNC:2553,G:HGNC:26678,GMDpDMG,5223,5812
0,G:HGNC:12691,G:HGNC:9854,GTG,352,828
1,G:HGNC:12691,G:HGNC:9854,GMG,1101,1194
2,G:HGNC:12691,G:HGNC:9854,GMDMG,2523,4621
3,G:HGNC:12691,G:HGNC:9854,GMDpDMG,5011,6736
0,G:HGNC:24628,G:HGNC:16952,GTG,266,435
2,G:HGNC:24628,G:HGNC:16952,GMDMG,714,6301
1,G:HGNC:24628,G:HGNC:16952,GMG,912,2264
3,G:HGNC:24628,G:HGNC:16952,GMDpDMG,986,7338
1,G:HGNC:20092,G:HGNC:7434,GMDMG,778,6929
0,G:HGNC:20092,G:HGNC:7434,GMG,1104,1510
2,G:HGNC:20092,G:HGNC:7434,GMDpDMG,1902,7457
2,G:HGNC:3176,G:HGNC:7786,GMDMG,588,5394
0,G:HGNC:3176,G:HGNC:7786,GTG,630,788
1,G:HGNC:3176,G:HGNC:7786,GMG,923,1299
3,G:HGNC:3176,G:HGNC:7786,GMDpDMG,2199,6026
0,G:HGNC:587,G:HGNC:30649,GMG,1450,1494
1,G:HGNC:587,G:HGNC:30649,GMDMG,3234,4987
2,G:HGNC:587,G:HGNC:30649,GMDpDMG,5396,6575
0,G:HGNC:23034,G:HGNC:2303,GMG,1685,1891
1,G:HGNC:23034,G:HGNC:2303,GMDMG,2927,5061
2,G:HGNC:23034,G:HGNC:2303,GMDpDMG,4604,6550
2,G:HGNC:42770,G:HGNC:1363,GMDpDMG,410,6976
1,G:HGNC:42770,G:HGNC:1363,GMDMG,596,6213
0,G:HGNC:42770,G:HGNC:1363,GMG,859,2435
2,G:HGNC:4983,G:HGNC:9634,GMDMG,370,7018
0,G:HGNC:4983,G:HGNC:9634,GTG,534,775
1,G:HGNC:4983,G:HGNC:9634,GMG,948,1985
3,G:HGNC:4983,G:HGNC:9634,GMDpDMG,1490,7984
0,G:HGNC:600,G:HGNC:14048,GTG,587,739
1,G:HGNC:600,G:HGNC:14048,GMDMG,2697,3491
0,G:HGNC:15989,G:HGNC:9299,GTG,400,505
3,G:HGNC:15989,G:HGNC:9299,GMDpDMG,1178,5968
1,G:HGNC:15989,G:HGNC:9299,GMG,1284,1338
2,G:HGNC:15989,G:HGNC:9299,GMDMG,1561,3426
2,G:HGNC:16165,G:HGNC:11896,GMDMG,161,4283
0,G:HGNC:16165,G:HGNC:11896,GTG,398,661
1,G:HGNC:16165,G:HGNC:11896,GMG,972,1499
3,G:HGNC:16165,G:HGNC:11896,GMDpDMG,3377,6151
0,G:HGNC:6904,G:HGNC:13488,GTG,329,633
1,G:HGNC:6904,G:HGNC:13488,GMG,907,1382
2,G:HGNC:6904,G:HGNC:13488,GMDMG,1457,5272
3,G:HGNC:6904,G:HGNC:13488,GMDpDMG,3142,6567
1,G:HGNC:26837,G:HGNC:7133,GDpDpDG,208,5809
0,G:HGNC:26837,G:HGNC:7133,GDpDG,263,535
2,G:HGNC:26837,G:HGNC:7133,GTG,374,507
3,G:HGNC:26837,G:HGNC:7133,GMG,691,1416
4,G:HGNC:26837,G:HGNC:7133,GMDMG,2248,6052
5,G:HGNC:26837,G:HGNC:7133,GMDpDMG,2383,6988
0,G:HGNC:593,G:HGNC:9212,GTG,137,593
2,G:HGNC:593,G:HGNC:9212,GMDMG,835,6541
1,G:HGNC:593,G:HGNC:9212,GMG,978,1483
3,G:HGNC:593,G:HGNC:9212,GMDpDMG,2481,6876
0,G:HGNC:962,G:HGNC:270,GTG,503,757
1,G:HGNC:962,G:HGNC:270,GMG,1217,1441
3,G:HGNC:962,G:HGNC:270,GMDpDMG,1648,7242
2,G:HGNC:962,G:HGNC:270,GMDMG,1926,7154
2,G:HGNC:9688,G:HGNC:20967,GTG,56,510
0,G:HGNC:9688,G:HGNC:20967,GDpDG,294,406
1,G:HGNC:9688,G:HGNC:20967,GDpDpDG,1003,5773
3,G:HGNC:9688,G:HGNC:20967,GMG,1268,1513
4,G:HGNC:9688,G:HGNC:20967,GMDMG,2777,5608
5,G:HGNC:9688,G:HGNC:20967,GMDpDMG,4125,6898
0,G:HGNC:17016,G:HGNC:8616,GTG,266,780
0,G:HGNC:14335,G:HGNC:11283,GPdPG,33,59
1,G:HGNC:14335,G:HGNC:11283,GTG,468,1023
2,G:HGNC:14335,G:HGNC:11283,GMDMG,4314,4640
0,G:HGNC:16002,G:HGNC:9021,GTG,266,586
1,G:HGNC:16002,G:HGNC:9021,GMG,963,1625
2,G:HGNC:16002,G:HGNC:9021,GMDMG,2907,6571
3,G:HGNC:16002,G:HGNC:9021,GMDpDMG,3802,7442
1,G:HGNC:2323,G:HGNC:17097,GTG,247,534
2,G:HGNC:2323,G:HGNC:17097,GMG,1624,1674
3,G:HGNC:2323,G:HGNC:17097,GMDMG,2338,4680
4,G:HGNC:2323,G:HGNC:17097,GMDpDMG,3946,6591
0,G:HGNC:2323,G:HGNC:17097,GDpDpDG,4257,5331
2,G:HGNC:689,G:HGNC:10922,GMDpDMG,922,7439
0,G:HGNC:689,G:HGNC:10922,GMG,1045,1354
1,G:HGNC:689,G:HGNC:10922,GMDMG,1119,6856
2,G:HGNC:1442,G:HGNC:5048,GMG,259,1034
1,G:HGNC:1442,G:HGNC:5048,GTG,376,762
3,G:HGNC:1442,G:HGNC:5048,GMDMG,1479,6744
4,G:HGNC:1442,G:HGNC:5048,GMDpDMG,3246,7372
0,G:HGNC:1442,G:HGNC:5048,GDpDpDG,4495,4688
1,G:HGNC:7106,G:HGNC:17097,GTG,120,584
2,G:HGNC:7106,G:HGNC:17097,GMG,258,1859
3,G:HGNC:7106,G:HGNC:17097,GMDMG,2599,4209
0,G:HGNC:7106,G:HGNC:17097,GDpDpDG,2672,5696
4,G:HGNC:7106,G:HGNC:17097,GMDpDMG,5192,6029
0,G:HGNC:1555,G:HGNC:6285,GMG,262,1979
1,G:HGNC:1555,G:HGNC:6285,GMDMG,3175,6250
2,G:HGNC:1555,G:HGNC:6285,GMDpDMG,3301,7252
0,G:HGNC:600,G:HGNC:21100,GTG,640,774
1,G:HGNC:600,G:HGNC:21100,GMDMG,3915,4328
0,G:HGNC:11110,G:HGNC:23357,GTG,381,508
2,G:HGNC:11110,G:HGNC:23357,GMDpDMG,1942,6481
1,G:HGNC:11110,G:HGNC:23357,GMDMG,3097,5558
0,G:HGNC:3688,G:HGNC:11892,GTG,376,1052
1,G:HGNC:3688,G:HGNC:11892,GMDMG,3869,4177
2,G:HGNC:3688,G:HGNC:11892,GMDpDMG,4417,5573
0,G:HGNC:3711,G:HGNC:4392,GTG,217,480
2,G:HGNC:3711,G:HGNC:4392,GMDMG,721,6885
1,G:HGNC:3711,G:HGNC:4392,GMG,960,1129
3,G:HGNC:3711,G:HGNC:4392,GMDpDMG,2090,7345
0,G:HGNC:3951,G:HGNC:7719,GTG,164,428
3,G:HGNC:3951,G:HGNC:7719,GMDpDMG,186,7295
2,G:HGNC:3951,G:HGNC:7719,GMDMG,231,6037
1,G:HGNC:3951,G:HGNC:7719,GMG,520,1321
3,G:HGNC:5467,G:HGNC:10780,GMDpDMG,79,6817
2,G:HGNC:5467,G:HGNC:10780,GMDMG,136,5277
1,G:HGNC:5467,G:HGNC:10780,GMG,573,1149
0,G:HGNC:5467,G:HGNC:10780,GTG,588,667
0,G:HGNC:3430,G:HGNC:11723,GTG,381,679
1,G:HGNC:3430,G:HGNC:11723,GMDMG,545,6121
2,G:HGNC:3430,G:HGNC:11723,GMDpDMG,660,7038
0,G:HGNC:9108,G:HGNC:9864,GTG,718,900
2,G:HGNC:9108,G:HGNC:9864,GMDpDMG,4140,4842
1,G:HGNC:9108,G:HGNC:9864,GMDMG,4214,5006
1,G:HGNC:12691,G:HGNC:12856,GMG,611,1072
0,G:HGNC:12691,G:HGNC:12856,GTG,752,1015
3,G:HGNC:12691,G:HGNC:12856,GMDpDMG,1752,6413
2,G:HGNC:12691,G:HGNC:12856,GMDMG,3096,4590
0,G:HGNC:20092,G:HGNC:12887,GTG,300,500
1,G:HGNC:20092,G:HGNC:12887,GMG,870,1489
2,G:HGNC:20092,G:HGNC:12887,GMDMG,1223,6513
3,G:HGNC:20092,G:HGNC:12887,GMDpDMG,1837,7582
0,G:HGNC:23480,G:HGNC:17921,GTG,211,532
1,G:HGNC:23480,G:HGNC:17921,GMG,1684,1887
2,G:HGNC:23480,G:HGNC:17921,GMDMG,1703,6424
3,G:HGNC:23480,G:HGNC:17921,GMDpDMG,2880,6983
0,G:HGNC:3430,G:HGNC:37231,GMG,634,1023
1,G:HGNC:3430,G:HGNC:37231,GMDMG,3701,4733
2,G:HGNC:3430,G:HGNC:37231,GMDpDMG,4528,5638
0,G:HGNC:2974,G:HGNC:23480,GTG,627,932
1,G:HGNC:2974,G:HGNC:23480,GMG,1425,1617
3,G:HGNC:2974,G:HGNC:23480,GMDpDMG,1543,6473
2,G:HGNC:2974,G:HGNC:23480,GMDMG,3126,5377
0,G:HGNC:30649,G:HGNC:8575,GMG,91,1824
1,G:HGNC:30649,G:HGNC:8575,GMDMG,1006,6579
2,G:HGNC:30649,G:HGNC:8575,GMDpDMG,2225,7553
1,G:HGNC:2584,G:HGNC:6840,GTG,600,724
2,G:HGNC:2584,G:HGNC:6840,GMG,1059,1135
3,G:HGNC:2584,G:HGNC:6840,GMDMG,1373,6181
4,G:HGNC:2584,G:HGNC:6840,GMDpDMG,3614,6618
0,G:HGNC:2584,G:HGNC:6840,GDpDpDG,3983,4171
1,G:HGNC:7090,G:HGNC:17117,GMDMG,245,3805
0,G:HGNC:7090,G:HGNC:17117,GMG,598,1910
2,G:HGNC:7090,G:HGNC:17117,GMDpDMG,4106,5324
0,G:HGNC:1591,G:HGNC:9634,GTG,143,504
2,G:HGNC:1591,G:HGNC:9634,GMDMG,166,7497
